"Teams","DAVE","Off","Def","Total","ST"
"NE",41.3,38.1,8.7,55.9,9.1
"ARI",36.2,25.2,22.2,51.5,4.1
"GB",32.5,20.1,19.3,41.2,1.8
"CIN",25.1,30.2,1.5,32.3,0.6
"PIT",14.6,20.7,0.2,18.5,-2.4
"NYJ",9.3,-4.2,26.7,15.6,-6.9
"BUF",9.5,7.9,7.3,15.4,0.2
"NYG",10.4,9.8,1.6,15.3,3.8
"SEA",15.3,-1,1.7,11.7,10.9
"DEN",12.2,-26.7,31.9,11.1,5.9
"CAR",4.7,0.6,19.2,10,-9.7
"PHI",7.7,-5,12.8,8.8,1
"ATL",7.2,13.1,-2.8,8.7,-1.6
"TEN",-4.1,-2,12.6,3.7,-6.9
"WAS",-3,-2.5,5.4,2.7,-0.2
"BAL",1.8,-0.9,-4.6,0.3,5.8
"OAK",-3,-1.2,-3.2,-1,3.5
"STL",-0.5,-19.1,13.9,-3.3,1.9
"CLE",-8,-3.3,-14.1,-7.6,9.8
"SD",-4.8,4.1,-6.8,-8.6,-6
"MIN",-4.2,-4.3,-5.9,-10.8,-0.6
"IND",-6.6,-5.5,-7.6,-11.1,2
"KC",-8.7,-0.5,-16,-13.7,2.7
"DAL",-10.6,-6,-6.2,-13.8,-1.7
"JAC",-17,-2.7,-8.2,-17.2,-6.3
"NO",-12.9,4.3,-21.8,-18.4,-0.8
"TB",-20.6,-21.8,-1.1,-23.4,-0.5
"DET",-18.7,-14.8,-12,-26.9,-0.2
"MIA",-18.9,-13.3,-17.9,-28.5,2.6
"CHI",-24.3,-9.3,-14.7,-30.7,-6.7
"HOU",-28.2,-14.1,-12.2,-36.7,-10.4
"SF",-31.3,-15.4,-21,-40.8,-4.3
"NE",50.4,0.7,1.4,55.9,1.6
"ARI",59.6,-24,-5.6,51.5,15.4
"GB",42.6,-15.4,5.2,41.2,3.7
"CIN",33.2,-2.3,-1.8,32.3,8.5
"PIT",21,0.7,-8.9,18.5,15.9
"NYJ",33.8,-9.6,-5.6,15.6,8.4
"BUF",23.1,7.1,-1.9,15.4,14.1
"NYG",14.5,-5.6,-0.6,15.3,2.1
"SEA",11.8,2.5,-1.3,11.7,13.3
"DEN",23.2,-10.4,-6.1,11.1,1
"CAR",24.4,-23.9,-2.9,10,1
"PHI",9.3,-1,-6.7,8.8,12.6
"ATL",15,-4.7,12.7,8.7,3.5
"TEN",1.6,-6.6,6.4,3.7,32.6
"WAS",2.3,0.2,-1.9,2.7,10.9
"BAL",0.2,10.7,0.5,0.3,1.6
"OAK",-0.9,1.1,-0.7,-1,16.4
"STL",-9.6,25.1,7.7,-3.3,8.5
"CLE",-4.9,2,-10.8,-7.6,22.3
"SD",-9.3,1.1,3.8,-8.6,8.1
"MIN",3.8,-16.3,-5.3,-10.8,23.8
"IND",-15.6,-3.8,1.5,-11.1,6.8
"KC",-12.5,3.5,1.7,-13.7,7.8
"DAL",-21,14.1,-6.5,-13.8,8.9
"JAC",-15,0.6,5.8,-17.2,3.1
"NO",-22.5,6.6,6,-18.4,10.6
"TB",-22.8,-11.7,2.1,-23.4,27.7
"DET",-33.4,11,5.3,-26.9,10.5
"MIA",-25.7,4.1,-8.4,-28.5,14.9
"CHI",-35.1,17.9,8.8,-30.7,17.1
"HOU",-34.2,-5.9,-3.1,-36.7,2.4
"SF",-44.3,23.1,-4,-40.8,33.4
